symptom_text,department,label
delayed milestones in the morning,Pediatrics,8
blood in stool since 1 week,Gastroenterology,4
chest tightness at rest chronic,Cardiology,0
sudden weight gain since 1 week,Endocrinology,6
child vomiting since 1 week,Pediatrics,8
blood in stool since 2 days,Gastroenterology,4
stress since 2 days,Psychiatry,9
bone pain mild to moderate,Orthopedics,2
decreased urine output chronic,Nephrology,12
fatigue chronic,Endocrinology,6
itching worsening at night,Dermatology,3
hearing loss with fever,ENT,11
itching in the morning,Dermatology,3
child vomiting sudden onset,Pediatrics,8
confusion after eating,Neurology,1
bone pain after eating,Orthopedics,2
allergic skin reaction since 1 week,Dermatology,3
chest pressure since 2 days,Cardiology,0
body ache worsening at night,General Medicine,13
malaria symptoms mild to moderate,General Medicine,13
phobia since 2 days,Psychiatry,9
sinusitis in the morning,ENT,11
tonsillitis after eating,ENT,11
child ear pain in the morning,Pediatrics,8
malaria symptoms chronic,General Medicine,13
chest tightness at rest sudden onset,Cardiology,0
diarrhea after eating,Gastroenterology,4
dialysis related with fever,Nephrology,12
blood in urine chronic,Nephrology,12
kidney pain after eating,Nephrology,12
eczema flare mild to moderate,Dermatology,3
blood in stool sudden onset,Gastroenterology,4
frequent chest infections since 2 days,Pulmonology,5
foamy urine since 1 week,Nephrology,12
child ear pain sudden onset,Pediatrics,8
memory loss since 1 week,Neurology,1
body ache mild to moderate,General Medicine,13
vaginal discharge since 2 days,Gynecology,7
dizziness sudden onset,Neurology,1
bloating chronic,Gastroenterology,4
watery eyes after eating,Ophthalmology,10
shoulder stiffness after eating,Orthopedics,2
fatigue with fever,General Medicine,13
stomach pain with fever,Gastroenterology,4
psoriasis patches mild to moderate,Dermatology,3
hair loss since 1 week,Dermatology,3
body ache chronic,General Medicine,13
tonsillitis in the morning,ENT,11
vaginal discharge mild to moderate,Gynecology,7
cold and cough mild to moderate,General Medicine,13
vomiting chronic,Gastroenterology,4
runny nose chronic,ENT,11
neck stiffness,Orthopedics,2
chest pain since 1 week,Cardiology,0
shortness of breath since 1 week,Cardiology,0
swollen ankles mild to moderate,Cardiology,0
yellow eyes since 2 days,Gastroenterology,4
hormonal imbalance after eating,Gynecology,7
irregular heartbeat chronic,Cardiology,0
cataract since 2 days,Ophthalmology,10
confusion mild to moderate,Neurology,1
sore throat since 2 days,ENT,11
sudden weight gain sudden onset,Endocrinology,6
panic attacks in the morning,Psychiatry,9
breathlessness on exertion since 1 week,Cardiology,0
typhoid symptoms after eating,General Medicine,13
general checkup since 1 week,General Medicine,13
confusion since 2 days,Neurology,1
vaginal discharge worsening at night,Gynecology,7
shoulder stiffness after eating,Orthopedics,2
dizziness while climbing stairs chronic,Cardiology,0
hair loss worsening at night,Dermatology,3
back pain,Orthopedics,2
health certificate after eating,General Medicine,13
psoriasis patches with fever,Dermatology,3
anxiety since 2 days,Psychiatry,9
general checkup in the morning,General Medicine,13
weakness on one side with fever,Neurology,1
shoulder stiffness sudden onset,Orthopedics,2
wheezing,Pulmonology,5
kidney pain chronic,Nephrology,12
kidney pain since 1 week,Nephrology,12
diabetes symptoms chronic,Endocrinology,6
chest tightness at rest worsening at night,Cardiology,0
coughing blood worsening at night,Pulmonology,5
joint swelling chronic,Orthopedics,2
frequent UTI worsening at night,Nephrology,12
foot pain in morning mild to moderate,Orthopedics,2
stress,Psychiatry,9
bone pain since 1 week,Orthopedics,2
difficulty swallowing,Gastroenterology,4
nasal congestion,ENT,11
blood in urine since 2 days,Nephrology,12
allergic skin reaction since 2 days,Dermatology,3
chest pain,Cardiology,0
confusion since 1 week,Neurology,1
hair loss with fever,Dermatology,3
back pain since 2 days,Orthopedics,2
darkening of skin worsening at night,Dermatology,3
typhoid symptoms sudden onset,General Medicine,13
anxiety since 1 week,Psychiatry,9
nausea with fever,Gastroenterology,4
darkening of skin mild to moderate,Dermatology,3
swollen face in morning in the morning,Nephrology,12
hip pain while walking since 1 week,Orthopedics,2
sinusitis sudden onset,ENT,11
chest pain chronic,Cardiology,0
menopause symptoms with fever,Gynecology,7
blood in stool chronic,Gastroenterology,4
wheezing mild to moderate,Pulmonology,5
infant not feeding,Pediatrics,8
dialysis related worsening at night,Nephrology,12
fracture,Orthopedics,2
palpitations since 2 days,Cardiology,0
nausea mild to moderate,Gastroenterology,4
vaccination since 1 week,Pediatrics,8
swollen ankles worsening at night,Cardiology,0
blood in urine after eating,Nephrology,12
nausea since 1 week,Gastroenterology,4
glaucoma symptoms chronic,Ophthalmology,10
dizziness in the morning,Neurology,1
swollen face in morning after eating,Nephrology,12
diarrhea chronic,Gastroenterology,4
squinting in the morning,Ophthalmology,10
smoking related cough with fever,Pulmonology,5
vaccination sudden onset,Pediatrics,8
dialysis related chronic,Nephrology,12
weakness on one side sudden onset,Neurology,1
red eye chronic,Ophthalmology,10
blurry vision chronic,Ophthalmology,10
menopause symptoms sudden onset,Gynecology,7
dizziness while climbing stairs chronic,Cardiology,0
swollen ankles chronic,Cardiology,0
fever,General Medicine,13
back pain since 1 week,Orthopedics,2
mood swings mild to moderate,Psychiatry,9
floaters in vision since 1 week,Ophthalmology,10
numbness in face since 1 week,Neurology,1
vertigo,ENT,11
menstrual cramps worsening at night,Gynecology,7
pelvic pain worsening at night,Gynecology,7
fracture with fever,Orthopedics,2
back pain worsening at night,Orthopedics,2
increased thirst chronic,Endocrinology,6
panic attacks since 2 days,Psychiatry,9
nasal congestion since 2 days,ENT,11
vaginal discharge chronic,Gynecology,7
swollen ankles chronic,Cardiology,0
yellow eyes,Gastroenterology,4
palpitations after eating,Cardiology,0
nausea in the morning,Gastroenterology,4
tingling in hands mild to moderate,Neurology,1
red eye after eating,Ophthalmology,10
depression in the morning,Psychiatry,9
chest pain,Cardiology,0
nasal congestion worsening at night,ENT,11
infant not feeding,Pediatrics,8
delayed milestones mild to moderate,Pediatrics,8
glaucoma symptoms since 2 days,Ophthalmology,10
skin rash since 1 week,Dermatology,3
vaccination since 2 days,Pediatrics,8
sinusitis since 1 week,ENT,11
irregular periods,Gynecology,7
child vomiting in the morning,Pediatrics,8
slurred speech chronic,Neurology,1
swollen ankles with fever,Cardiology,0
fatigue chronic,Endocrinology,6
allergic skin reaction since 2 days,Dermatology,3
swollen face in morning worsening at night,Nephrology,12
eye pain with fever,Ophthalmology,10
smoking related cough since 2 days,Pulmonology,5
dizziness after eating,Neurology,1
excessive sweating mild to moderate,Endocrinology,6
swollen face in morning,Nephrology,12
heart racing after eating,Cardiology,0
dengue symptoms in the morning,General Medicine,13
thyroid swelling sudden onset,Endocrinology,6
bone pain since 2 days,Orthopedics,2
blurry vision after eating,Ophthalmology,10
TB symptoms since 2 days,Pulmonology,5
irregular periods since 1 week,Gynecology,7
swollen face in morning since 1 week,Nephrology,12
breathlessness on exertion mild to moderate,Cardiology,0
neck stiffness in the morning,Orthopedics,2
delayed milestones sudden onset,Pediatrics,8
vaginal discharge worsening at night,Gynecology,7
vision blurring suddenly sudden onset,Neurology,1
foamy urine mild to moderate,Nephrology,12
squinting with fever,Ophthalmology,10
OCD symptoms chronic,Psychiatry,9
swollen face in morning since 1 week,Nephrology,12
tingling in hands sudden onset,Neurology,1
snoring after eating,ENT,11
decreased urine output in the morning,Nephrology,12
skin rash in the morning,Dermatology,3
runny nose sudden onset,ENT,11
tingling in hands sudden onset,Neurology,1
thyroid swelling mild to moderate,Endocrinology,6
foot pain in morning since 1 week,Orthopedics,2
nasal congestion worsening at night,ENT,11
sudden weight gain with fever,Endocrinology,6
dizziness while climbing stairs chronic,Cardiology,0
squinting since 2 days,Ophthalmology,10
hip pain while walking worsening at night,Orthopedics,2
pregnancy symptoms,Gynecology,7
foamy urine chronic,Nephrology,12
vaccination after eating,Pediatrics,8
blood in urine since 2 days,Nephrology,12
sudden weight gain in the morning,Endocrinology,6
coughing blood sudden onset,Pulmonology,5
child ear pain sudden onset,Pediatrics,8
palpitations since 2 days,Cardiology,0
acid reflux after eating,Gastroenterology,4
anxiety worsening at night,Psychiatry,9
fracture sudden onset,Orthopedics,2
foamy urine with fever,Nephrology,12
suicidal thoughts mild to moderate,Psychiatry,9
tingling in hands since 2 days,Neurology,1
phobia with fever,Psychiatry,9
smoking related cough with fever,Pulmonology,5
weakness sudden onset,General Medicine,13
chest pain since 1 week,Cardiology,0
tonsillitis with fever,ENT,11
childhood asthma sudden onset,Pediatrics,8
coughing blood since 1 week,Pulmonology,5
TB symptoms with fever,Pulmonology,5
shortness of breath since 2 days,Cardiology,0
bloating in the morning,Gastroenterology,4
TB symptoms worsening at night,Pulmonology,5
joint swelling,Orthopedics,2
fatigue after eating,Endocrinology,6
eye pain since 2 days,Ophthalmology,10
swollen wrist with fever,Orthopedics,2
back pain since 1 week,Orthopedics,2
dizziness worsening at night,Neurology,1
cough for 3 weeks chronic,Pulmonology,5
pelvic pain with fever,Gynecology,7
hearing loss with fever,ENT,11
palpitations in the morning,Cardiology,0
excessive sweating in the morning,Endocrinology,6
chest congestion after eating,Pulmonology,5
coughing blood since 1 week,Pulmonology,5
fracture since 1 week,Orthopedics,2
watery eyes,Ophthalmology,10
red eye since 1 week,Ophthalmology,10
yellow eyes in the morning,Gastroenterology,4
pelvic pain sudden onset,Gynecology,7
swollen ankles worsening at night,Cardiology,0
joint swelling since 2 days,Orthopedics,2
swollen wrist,Orthopedics,2
frequent chest infections,Pulmonology,5
dialysis related chronic,Nephrology,12
malaria symptoms in the morning,General Medicine,13
irregular heartbeat with fever,Cardiology,0
fatigue,General Medicine,13
eye pain after eating,Ophthalmology,10
confusion mild to moderate,Neurology,1
diarrhea chronic,Gastroenterology,4
chest congestion after eating,Pulmonology,5
wheezing mild to moderate,Pulmonology,5
bone pain,Orthopedics,2
dizziness while climbing stairs chronic,Cardiology,0
PCOD symptoms after eating,Gynecology,7
shortness of breath in the morning,Cardiology,0
dizziness while climbing stairs in the morning,Cardiology,0
hair loss,Dermatology,3
fracture chronic,Orthopedics,2
fainting since 1 week,Neurology,1
confusion mild to moderate,Neurology,1
decreased urine output worsening at night,Nephrology,12
severe headache since 2 days,Neurology,1
weakness since 2 days,General Medicine,13
childhood asthma sudden onset,Pediatrics,8
irregular periods with fever,Gynecology,7
suicidal thoughts mild to moderate,Psychiatry,9
cataract worsening at night,Ophthalmology,10
tonsillitis after eating,ENT,11
acid reflux mild to moderate,Gastroenterology,4
breast lump since 2 days,Gynecology,7
insomnia,Psychiatry,9
kidney pain worsening at night,Nephrology,12
yellow eyes since 2 days,Gastroenterology,4
snoring since 1 week,ENT,11
breast lump mild to moderate,Gynecology,7
acne with fever,Dermatology,3
ear pain sudden onset,ENT,11
numbness in face sudden onset,Neurology,1
memory loss,Neurology,1
bone pain since 1 week,Orthopedics,2
malaria symptoms sudden onset,General Medicine,13
floaters in vision after eating,Ophthalmology,10
chest tightness at rest sudden onset,Cardiology,0
hair loss since 1 week,Dermatology,3
suicidal thoughts in the morning,Psychiatry,9
tingling in hands with fever,Neurology,1
red eye in the morning,Ophthalmology,10
back pain chronic,Orthopedics,2
floaters in vision,Ophthalmology,10
shoulder stiffness since 1 week,Orthopedics,2
insulin resistance mild to moderate,Endocrinology,6
increased thirst since 1 week,Endocrinology,6
chest tightness at rest with fever,Cardiology,0
frequent UTI sudden onset,Nephrology,12
yellow eyes mild to moderate,Gastroenterology,4
mood swings in the morning,Psychiatry,9
asthma attack sudden onset,Pulmonology,5
fever with fever,General Medicine,13
shortness of breath sudden onset,Cardiology,0
nausea chronic,Gastroenterology,4
body ache sudden onset,General Medicine,13
weakness mild to moderate,General Medicine,13
menstrual cramps since 2 days,Gynecology,7
smoking related cough after eating,Pulmonology,5
swollen face in morning,Nephrology,12
hormonal imbalance,Gynecology,7
menstrual cramps with fever,Gynecology,7
darkening of skin mild to moderate,Dermatology,3
boil on skin since 1 week,Dermatology,3
blood in urine,Nephrology,12
irregular periods with fever,Gynecology,7
pregnancy symptoms since 1 week,Gynecology,7
typhoid symptoms chronic,General Medicine,13
shoulder stiffness with fever,Orthopedics,2
child fever with fever,Pediatrics,8
suicidal thoughts since 1 week,Psychiatry,9
infant not feeding chronic,Pediatrics,8
vomiting chronic,Gastroenterology,4
PCOD symptoms chronic,Gynecology,7
wheezing in the morning,Pulmonology,5
watery eyes since 2 days,Ophthalmology,10
sinusitis,ENT,11
depression with fever,Psychiatry,9
frequent chest infections chronic,Pulmonology,5
vision blurring suddenly sudden onset,Neurology,1
foot pain in morning in the morning,Orthopedics,2
fatigue in the morning,Endocrinology,6
childhood asthma since 1 week,Pediatrics,8
chest pain mild to moderate,Cardiology,0
vision blurring suddenly worsening at night,Neurology,1
dizziness since 2 days,Neurology,1
anxiety since 1 week,Psychiatry,9
smoking related cough after eating,Pulmonology,5
diarrhea,Gastroenterology,4
irregular periods mild to moderate,Gynecology,7
pelvic pain,Gynecology,7
frequent UTI sudden onset,Nephrology,12
infant not feeding in the morning,Pediatrics,8
child rash since 1 week,Pediatrics,8
sinusitis mild to moderate,ENT,11
confusion mild to moderate,Neurology,1
hearing loss worsening at night,ENT,11
vaginal discharge chronic,Gynecology,7
bone pain since 2 days,Orthopedics,2
back pain in the morning,Orthopedics,2
darkening of skin after eating,Dermatology,3
weakness on one side mild to moderate,Neurology,1
eczema flare worsening at night,Dermatology,3
chest pain chronic,Cardiology,0
asthma attack after eating,Pulmonology,5
confusion chronic,Neurology,1
frequent urination,Endocrinology,6
phobia mild to moderate,Psychiatry,9
suicidal thoughts chronic,Psychiatry,9
TB symptoms sudden onset,Pulmonology,5
malaria symptoms mild to moderate,General Medicine,13
diabetes symptoms in the morning,Endocrinology,6
delayed milestones since 1 week,Pediatrics,8
vomiting mild to moderate,Gastroenterology,4
squinting in the morning,Ophthalmology,10
decreased urine output mild to moderate,Nephrology,12
joint swelling after eating,Orthopedics,2
weakness with fever,General Medicine,13
dengue symptoms since 2 days,General Medicine,13
severe headache worsening at night,Neurology,1
anxiety worsening at night,Psychiatry,9
schizophrenia symptoms in the morning,Psychiatry,9
general checkup sudden onset,General Medicine,13
body ache with fever,General Medicine,13
menstrual cramps mild to moderate,Gynecology,7
shortness of breath chronic,Cardiology,0
body ache in the morning,General Medicine,13
vision blurring suddenly since 2 days,Neurology,1
frequent urination chronic,Endocrinology,6
child fever,Pediatrics,8
mood swings with fever,Psychiatry,9
floaters in vision since 2 days,Ophthalmology,10
sinusitis mild to moderate,ENT,11
menstrual cramps mild to moderate,Gynecology,7
kidney pain in the morning,Nephrology,12
sinusitis sudden onset,ENT,11
squinting since 2 days,Ophthalmology,10
weakness on one side sudden onset,Neurology,1
confusion since 2 days,Neurology,1
infant not feeding with fever,Pediatrics,8
sudden weight gain since 2 days,Endocrinology,6
nausea mild to moderate,Gastroenterology,4
body ache chronic,General Medicine,13
cold and cough mild to moderate,General Medicine,13
typhoid symptoms in the morning,General Medicine,13
nail discoloration since 1 week,Dermatology,3
kidney pain since 2 days,Nephrology,12
chest pressure since 2 days,Cardiology,0
loss of appetite worsening at night,General Medicine,13
dizziness in the morning,Neurology,1
typhoid symptoms since 2 days,General Medicine,13
fainting after eating,Neurology,1
OCD symptoms after eating,Psychiatry,9
vision blurring suddenly,Neurology,1
itching since 1 week,Dermatology,3
fracture chronic,Orthopedics,2
squinting after eating,Ophthalmology,10
frequent urination since 1 week,Endocrinology,6
sudden weight gain,Endocrinology,6
smoking related cough worsening at night,Pulmonology,5
hormonal imbalance since 2 days,Gynecology,7
fatigue after eating,Endocrinology,6
shortness of breath sudden onset,Cardiology,0
fainting after eating,Neurology,1
kidney pain with fever,Nephrology,12
acid reflux since 2 days,Gastroenterology,4
itching since 1 week,Dermatology,3
floaters in vision chronic,Ophthalmology,10
newborn jaundice sudden onset,Pediatrics,8
fever with fever,General Medicine,13
ear pain in the morning,ENT,11
blood in urine,Nephrology,12
kidney pain mild to moderate,Nephrology,12
red eye sudden onset,Ophthalmology,10
fatigue since 2 days,General Medicine,13
child ear pain sudden onset,Pediatrics,8
psoriasis patches with fever,Dermatology,3
hip pain while walking with fever,Orthopedics,2
difficulty swallowing with fever,Gastroenterology,4
dizziness worsening at night,Neurology,1
menopause symptoms since 2 days,Gynecology,7
malaria symptoms since 1 week,General Medicine,13
nail discoloration since 1 week,Dermatology,3
watery eyes in the morning,Ophthalmology,10
menopause symptoms since 1 week,Gynecology,7
eye pain chronic,Ophthalmology,10
squinting in the morning,Ophthalmology,10
dialysis related chronic,Nephrology,12
kidney pain with fever,Nephrology,12
swollen face in morning,Nephrology,12
kidney pain since 1 week,Nephrology,12
depression in the morning,Psychiatry,9
red eye,Ophthalmology,10
irregular heartbeat sudden onset,Cardiology,0
skin rash,Dermatology,3
stress worsening at night,Psychiatry,9
red eye since 1 week,Ophthalmology,10
child rash,Pediatrics,8
swollen face in morning sudden onset,Nephrology,12
tingling in hands mild to moderate,Neurology,1
swollen face in morning,Nephrology,12
TB symptoms in the morning,Pulmonology,5
acne chronic,Dermatology,3
diabetes symptoms sudden onset,Endocrinology,6
runny nose in the morning,ENT,11
insomnia worsening at night,Psychiatry,9
child fever worsening at night,Pediatrics,8
stress in the morning,Psychiatry,9
tonsillitis since 1 week,ENT,11
smoking related cough,Pulmonology,5
shortness of breath mild to moderate,Cardiology,0
cold intolerance worsening at night,Endocrinology,6
panic attacks since 1 week,Psychiatry,9
bloating sudden onset,Gastroenterology,4
vertigo in the morning,ENT,11
foamy urine with fever,Nephrology,12
constipation in the morning,Gastroenterology,4
foamy urine,Nephrology,12
back pain since 1 week,Orthopedics,2
typhoid symptoms since 1 week,General Medicine,13
panic attacks worsening at night,Psychiatry,9
thyroid swelling in the morning,Endocrinology,6
diabetes symptoms chronic,Endocrinology,6
boil on skin mild to moderate,Dermatology,3
menopause symptoms,Gynecology,7
smoking related cough sudden onset,Pulmonology,5
yellow eyes mild to moderate,Gastroenterology,4
phobia mild to moderate,Psychiatry,9
dizziness while climbing stairs,Cardiology,0
irregular periods,Gynecology,7
hip pain while walking sudden onset,Orthopedics,2
yellow eyes in the morning,Gastroenterology,4
insomnia in the morning,Psychiatry,9
insomnia since 1 week,Psychiatry,9
sore throat sudden onset,ENT,11
thyroid swelling in the morning,Endocrinology,6
phobia chronic,Psychiatry,9
eye pain since 2 days,Ophthalmology,10
child vomiting,Pediatrics,8
blood in stool chronic,Gastroenterology,4
child ear pain chronic,Pediatrics,8
wheezing worsening at night,Pulmonology,5
acid reflux chronic,Gastroenterology,4
floaters in vision,Ophthalmology,10
blood in stool in the morning,Gastroenterology,4
acid reflux since 1 week,Gastroenterology,4
fracture worsening at night,Orthopedics,2
weakness with fever,General Medicine,13
back pain chronic,Orthopedics,2
vomiting chronic,Gastroenterology,4
anxiety mild to moderate,Psychiatry,9
vaginal discharge,Gynecology,7
eczema flare after eating,Dermatology,3
newborn jaundice,Pediatrics,8
runny nose worsening at night,ENT,11
child fever,Pediatrics,8
hip pain while walking since 1 week,Orthopedics,2
back pain sudden onset,Orthopedics,2
weakness on one side chronic,Neurology,1
runny nose,ENT,11
darkening of skin in the morning,Dermatology,3
cold and cough in the morning,General Medicine,13
newborn jaundice after eating,Pediatrics,8
smoking related cough after eating,Pulmonology,5
TB symptoms in the morning,Pulmonology,5
vertigo mild to moderate,ENT,11
TB symptoms since 2 days,Pulmonology,5
vaccination sudden onset,Pediatrics,8
bone pain since 1 week,Orthopedics,2
heart racing,Cardiology,0
dialysis related chronic,Nephrology,12
hair loss worsening at night,Dermatology,3
child ear pain chronic,Pediatrics,8
swollen face in morning with fever,Nephrology,12
breathlessness on exertion,Cardiology,0
typhoid symptoms since 1 week,General Medicine,13
shortness of breath sudden onset,Cardiology,0
hormonal imbalance worsening at night,Gynecology,7
memory loss since 1 week,Neurology,1
knee pain since 2 days,Orthopedics,2
pregnancy symptoms with fever,Gynecology,7
weakness on one side with fever,Neurology,1
stomach pain sudden onset,Gastroenterology,4
runny nose since 1 week,ENT,11
allergic skin reaction chronic,Dermatology,3
memory loss in the morning,Neurology,1
foot pain in morning since 1 week,Orthopedics,2
fever,General Medicine,13
depression since 1 week,Psychiatry,9
knee pain,Orthopedics,2
frequent chest infections chronic,Pulmonology,5
bloating worsening at night,Gastroenterology,4
swollen face in morning since 2 days,Nephrology,12
breast lump chronic,Gynecology,7
newborn jaundice since 1 week,Pediatrics,8
breathlessness on exertion chronic,Cardiology,0
boil on skin sudden onset,Dermatology,3
breathlessness on exertion with fever,Cardiology,0
chest pain chronic,Cardiology,0
decreased urine output since 2 days,Nephrology,12
severe headache in the morning,Neurology,1
difficulty swallowing in the morning,Gastroenterology,4
childhood asthma after eating,Pediatrics,8
mood swings in the morning,Psychiatry,9
numbness in face chronic,Neurology,1
smoking related cough sudden onset,Pulmonology,5
stress with fever,Psychiatry,9
menopause symptoms since 1 week,Gynecology,7
frequent chest infections after eating,Pulmonology,5
heart racing since 2 days,Cardiology,0
frequent chest infections after eating,Pulmonology,5
vertigo sudden onset,ENT,11
kidney pain since 2 days,Nephrology,12
glaucoma symptoms mild to moderate,Ophthalmology,10
fracture with fever,Orthopedics,2
cough for 3 weeks sudden onset,Pulmonology,5
menstrual cramps worsening at night,Gynecology,7
weakness since 2 days,General Medicine,13
hair loss sudden onset,Dermatology,3
tonsillitis since 1 week,ENT,11
asthma attack with fever,Pulmonology,5
nausea since 1 week,Gastroenterology,4
chest tightness at rest mild to moderate,Cardiology,0
severe headache mild to moderate,Neurology,1
coughing blood sudden onset,Pulmonology,5
stomach pain since 1 week,Gastroenterology,4
neck stiffness since 1 week,Orthopedics,2
cold and cough mild to moderate,General Medicine,13
foot pain in morning worsening at night,Orthopedics,2
stress since 2 days,Psychiatry,9
excessive sweating in the morning,Endocrinology,6
slurred speech in the morning,Neurology,1
chest pressure with fever,Cardiology,0
fainting chronic,Neurology,1
acne sudden onset,Dermatology,3
hair thinning with fever,Endocrinology,6
cough for 3 weeks with fever,Pulmonology,5
itching sudden onset,Dermatology,3
wheezing worsening at night,Pulmonology,5
depression since 1 week,Psychiatry,9
child fever after eating,Pediatrics,8
kidney pain chronic,Nephrology,12
schizophrenia symptoms after eating,Psychiatry,9
shortness of breath chronic,Cardiology,0
pregnancy symptoms since 2 days,Gynecology,7
delayed milestones since 1 week,Pediatrics,8
mood swings sudden onset,Psychiatry,9
childhood asthma in the morning,Pediatrics,8
